dest_ip,dest_port,first_seen,last_online,malware
182.71.222.187,80,2/5/2020 20:29,2/6/2020,Heodo
5.32.84.54,80,2/5/2020 18:34,2/6/2020,Heodo
64.207.176.4,8080,2/5/2020 18:34,2/6/2020,Heodo
187.162.248.237,80,2/5/2020 17:46,2/6/2020,Heodo
45.118.133.154,7080,2/5/2020 17:46,2/6/2020,Heodo
149.210.171.237,8080,2/5/2020 17:33,2/6/2020,Heodo
37.211.90.253,80,2/5/2020 17:33,2/6/2020,Heodo
85.100.115.92,80,2/5/2020 17:33,2/6/2020,Heodo
213.107.110.252,80,2/5/2020 17:10,2/6/2020,Heodo
213.60.19.245,80,2/4/2020 23:28,2/6/2020,Heodo
76.86.17.1,80,2/4/2020 23:24,2/6/2020,Heodo
107.172.165.149,443,2/4/2020 23:22,2/6/2020,TrickBot
101.141.5.17,80,2/4/2020 23:11,2/6/2020,Heodo
78.188.33.71,80,2/4/2020 23:11,2/6/2020,Heodo
188.227.84.209,443,2/4/2020 19:31,2/5/2020,TrickBot
47.155.214.239,80,2/4/2020 18:46,2/5/2020,Heodo
185.186.77.222,443,2/4/2020 16:03,2/6/2020,TrickBot
5.2.78.70,443,2/4/2020 16:03,2/5/2020,TrickBot
88.99.112.87,443,2/4/2020 15:53,2/5/2020,TrickBot
81.177.180.254,443,2/4/2020 15:31,2/6/2020,TrickBot
185.65.202.240,443,2/4/2020 15:26,2/6/2020,TrickBot
51.254.164.240,443,2/4/2020 15:13,2/6/2020,TrickBot
45.148.120.13,443,2/4/2020 13:30,2/5/2020,TrickBot
193.26.217.243,443,2/4/2020 13:28,2/6/2020,TrickBot
185.11.146.86,443,2/4/2020 13:27,2/5/2020,TrickBot
110.232.188.29,443,2/4/2020 13:24,2/6/2020,Heodo
70.187.114.147,80,2/4/2020 13:15,2/4/2020,Heodo
98.15.121.180,8080,2/4/2020 13:14,2/4/2020,Heodo
152.169.31.120,8080,2/4/2020 13:08,2/6/2020,Heodo
50.251.171.165,80,2/4/2020 7:50,2/6/2020,Heodo
5.2.77.18,447,2/4/2020 0:35,2/6/2020,TrickBot
185.99.2.52,447,2/3/2020 19:53,2/5/2020,TrickBot
146.185.253.181,447,2/3/2020 19:52,2/6/2020,TrickBot
5.34.177.40,443,2/3/2020 19:51,2/6/2020,TrickBot
195.123.219.69,447,2/3/2020 19:49,2/6/2020,TrickBot
5.2.78.77,443,2/3/2020 19:31,2/6/2020,TrickBot
46.229.213.27,443,2/3/2020 19:31,2/5/2020,TrickBot
194.5.250.52,447,2/3/2020 16:49,2/5/2020,TrickBot
91.74.88.6,80,2/3/2020 15:08,2/4/2020,Heodo
24.167.122.146,8080,2/3/2020 14:50,2/6/2020,Heodo
174.53.195.88,80,2/3/2020 14:44,2/4/2020,Heodo
173.24.68.195,80,2/3/2020 14:13,2/4/2020,Heodo
42.115.22.145,80,2/3/2020 13:48,2/4/2020,Heodo
71.197.197.100,80,2/3/2020 13:47,2/3/2020,Heodo
94.156.35.119,447,2/1/2020 17:13,2/6/2020,TrickBot
5.255.96.108,447,2/1/2020 11:56,2/6/2020,TrickBot
212.109.220.222,447,1/31/2020 21:20,2/6/2020,TrickBot
212.109.195.175,447,1/31/2020 17:44,2/6/2020,TrickBot
198.211.121.27,8080,1/31/2020 14:26,2/6/2020,Heodo
190.70.1.69,80,1/31/2020 14:18,2/6/2020,Heodo
94.76.247.61,8080,1/31/2020 14:18,2/6/2020,Heodo
110.44.113.2,80,1/31/2020 14:08,2/3/2020,Heodo
45.55.179.121,8080,1/31/2020 13:58,2/6/2020,Heodo
104.236.28.47,8080,1/31/2020 13:54,2/6/2020,Heodo
104.131.41.185,8080,1/31/2020 13:43,2/6/2020,Heodo
101.100.137.135,80,1/31/2020 5:10,2/6/2020,Heodo
60.151.66.216,443,1/31/2020 3:17,2/6/2020,Heodo
186.6.245.26,443,1/30/2020 23:56,2/3/2020,Heodo
186.10.92.114,80,1/30/2020 23:13,2/6/2020,Heodo
105.27.155.182,80,1/30/2020 15:42,2/6/2020,Heodo
210.213.85.43,8080,1/30/2020 14:29,2/6/2020,Heodo
92.38.171.11,447,1/30/2020 11:04,1/31/2020,TrickBot
85.143.220.73,447,1/30/2020 1:03,2/6/2020,TrickBot
162.154.175.215,80,1/29/2020 15:06,2/4/2020,Heodo
95.66.182.136,80,1/29/2020 14:59,2/6/2020,Heodo
113.52.123.226,7080,1/29/2020 14:32,2/5/2020,Heodo
65.184.222.119,80,1/29/2020 14:32,2/6/2020,Heodo
89.19.20.202,443,1/29/2020 14:16,2/6/2020,Heodo
104.236.161.64,8080,1/29/2020 14:16,2/6/2020,Heodo
70.127.155.33,80,1/29/2020 13:27,2/6/2020,Heodo
212.80.217.162,447,1/29/2020 0:14,1/29/2020,TrickBot
195.123.240.197,447,1/28/2020 22:53,2/2/2020,TrickBot
212.109.195.100,447,1/28/2020 19:07,1/29/2020,TrickBot
91.72.179.214,80,1/28/2020 17:58,2/6/2020,Heodo
177.188.121.26,443,1/28/2020 17:30,2/5/2020,Heodo
181.60.244.48,8080,1/28/2020 17:30,2/6/2020,Heodo
104.193.252.168,447,1/28/2020 16:52,1/30/2020,TrickBot
85.96.49.152,80,1/28/2020 16:31,1/30/2020,Heodo
108.190.109.107,80,1/28/2020 16:30,2/6/2020,Heodo
125.207.127.86,80,1/28/2020 16:30,2/6/2020,Heodo
174.83.116.77,80,1/28/2020 16:30,2/6/2020,Heodo
74.208.45.104,8080,1/28/2020 16:30,2/6/2020,Heodo
83.220.168.254,447,1/28/2020 16:13,1/29/2020,TrickBot
95.181.198.236,447,1/28/2020 16:09,2/6/2020,TrickBot
198.8.91.25,447,1/28/2020 16:06,2/6/2020,TrickBot
5.34.158.102,80,1/28/2020 15:08,2/6/2020,Heodo
194.99.21.137,447,1/28/2020 12:14,1/28/2020,TrickBot
85.217.170.137,447,1/28/2020 3:24,1/31/2020,TrickBot
31.16.195.72,80,1/28/2020 2:25,2/3/2020,Heodo
93.189.41.185,447,1/27/2020 23:58,2/6/2020,TrickBot
154.70.158.97,80,1/27/2020 22:49,1/31/2020,Heodo
175.139.209.3,8080,1/27/2020 17:20,2/5/2020,Heodo
184.172.27.82,8080,1/27/2020 17:20,2/6/2020,Heodo
74.50.51.115,7080,1/27/2020 17:20,1/29/2020,Heodo
146.255.96.214,443,1/27/2020 17:20,1/30/2020,Heodo
184.162.115.11,443,1/27/2020 17:06,2/6/2020,Heodo
185.66.12.59,447,1/27/2020 17:04,1/27/2020,TrickBot
178.62.75.204,8080,1/27/2020 16:54,2/6/2020,Heodo
68.183.18.169,8080,1/27/2020 16:54,2/6/2020,Heodo
70.60.238.62,80,1/27/2020 16:54,1/31/2020,Heodo
136.243.205.112,7080,1/27/2020 15:44,2/6/2020,Heodo
218.255.173.106,80,1/27/2020 15:44,2/6/2020,Heodo
23.243.215.4,8080,1/27/2020 15:44,1/28/2020,Heodo
200.69.224.73,80,1/27/2020 15:44,2/6/2020,Heodo
207.177.72.129,8080,1/27/2020 15:17,2/6/2020,Heodo
195.250.143.182,80,1/25/2020 19:14,2/4/2020,Heodo
75.86.6.174,80,1/25/2020 15:32,2/1/2020,Heodo
223.197.185.60,80,1/25/2020 9:12,2/6/2020,Heodo
5.2.75.93,443,1/25/2020 3:28,1/29/2020,TrickBot
85.204.116.237,443,1/25/2020 1:26,1/28/2020,TrickBot
195.123.216.223,443,1/25/2020 0:53,1/27/2020,TrickBot
93.189.42.146,443,1/25/2020 0:25,1/28/2020,TrickBot
211.192.153.224,80,1/24/2020 22:32,2/6/2020,Heodo
23.92.16.164,8080,1/24/2020 22:32,2/6/2020,Heodo
5.182.210.230,443,1/24/2020 21:50,1/27/2020,TrickBot
185.99.2.160,443,1/24/2020 20:36,1/27/2020,TrickBot
5.2.75.167,443,1/24/2020 19:05,1/29/2020,TrickBot
194.5.250.155,443,1/24/2020 15:58,1/26/2020,TrickBot
194.87.238.87,443,1/24/2020 15:58,1/28/2020,TrickBot
185.178.46.184,447,1/24/2020 15:53,1/28/2020,TrickBot
189.78.156.8,80,1/24/2020 15:24,2/3/2020,Heodo
118.200.47.120,443,1/24/2020 15:22,2/5/2020,Heodo
144.139.228.113,443,1/24/2020 15:22,2/6/2020,Heodo
146.185.219.165,443,1/24/2020 15:05,1/27/2020,TrickBot
164.68.120.56,443,1/24/2020 14:07,2/6/2020,TrickBot
51.89.115.116,443,1/24/2020 14:07,2/1/2020,TrickBot
74.108.124.180,80,1/24/2020 10:52,2/6/2020,Heodo
87.81.51.125,80,1/24/2020 7:38,1/27/2020,Heodo
202.229.211.95,80,1/23/2020 17:04,1/28/2020,Heodo
202.175.121.202,8090,1/23/2020 16:46,2/4/2020,Heodo
222.144.13.169,80,1/23/2020 16:46,2/6/2020,Heodo
70.184.9.39,8080,1/23/2020 16:46,2/6/2020,Heodo
150.246.246.238,80,1/23/2020 15:26,2/6/2020,Heodo
186.138.186.74,443,1/23/2020 15:24,2/6/2020,Heodo
151.231.7.154,80,1/23/2020 13:50,1/26/2020,Heodo
72.176.87.136,80,1/23/2020 13:43,1/25/2020,Heodo
108.6.140.26,80,1/23/2020 12:56,2/6/2020,Heodo
185.207.57.205,443,1/23/2020 0:26,1/28/2020,Heodo
88.225.230.33,80,1/23/2020 0:22,2/6/2020,Heodo
115.65.111.148,443,1/22/2020 21:46,2/6/2020,Heodo
45.55.65.123,8080,1/22/2020 21:46,2/6/2020,Heodo
42.200.226.58,80,1/22/2020 21:46,1/31/2020,Heodo
78.101.70.199,443,1/22/2020 21:46,2/5/2020,Heodo
188.218.104.226,80,1/22/2020 21:42,1/29/2020,Heodo
73.125.15.41,80,1/22/2020 21:42,1/29/2020,Heodo
146.185.253.18,443,1/22/2020 21:17,1/27/2020,TrickBot
70.180.35.211,80,1/22/2020 19:09,2/6/2020,Heodo
190.63.7.166,8080,1/22/2020 17:01,2/4/2020,Heodo
81.214.142.115,80,1/22/2020 17:01,2/6/2020,Heodo
203.45.161.179,443,1/22/2020 16:28,2/6/2020,Heodo
177.103.157.126,80,1/22/2020 16:27,1/30/2020,Heodo
99.229.254.209,80,1/22/2020 16:27,1/23/2020,Heodo
75.114.235.105,80,1/22/2020 16:27,2/6/2020,Heodo
181.196.27.123,80,1/22/2020 15:48,2/5/2020,Heodo
186.200.205.170,80,1/22/2020 2:25,2/5/2020,Heodo
175.181.7.188,80,1/21/2020 21:29,2/6/2020,Heodo
152.168.248.128,443,1/21/2020 20:34,2/6/2020,Heodo
74.101.225.121,443,1/21/2020 20:34,2/5/2020,Heodo
